Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,1stDOpp,Rush,Pass,Pen
21,PHI,2013,2013-09-29,4:25,2:25,@,DEN,4,4,Sun,L 20-52,,35,11,19,5
22,WAS,2016,2016-10-30,8:36,1:36,@,CIN,8,8,Sun,T 27-27,OT,35,10,17,8
23,CLE,2018,2018-10-21,1:00,1:00,@,TAM,7,7,Sun,L 23-26,OT,34,8,20,6
24,IND,2014,2014-10-26,4:25,4:25,@,PIT,8,8,Sun,L 34-51,,34,7,25,2
25,ARI,2003,2003-09-28,1:02,12:02,@,STL,4,4,Sun,L 13-37,,34,0,0,0
26,DAL,2013,2013-10-06,4:25,3:25,,DEN,5,5,Sun,L 48-51,,34,9,20,5
27,DET,2020,2020-11-15,1:00,1:00,,WAS,10,9,Sun,W 30-27,,34,8,22,4
28,HOU,2006,2006-09-17,1:03,1:03,@,IND,2,2,Sun,L 24-43,,34,0,0,0
29,NOR,2015,2015-10-11,1:04,1:04,@,PHI,5,5,Sun,L 17-39,,34,11,18,5
30,NOR,2020,2020-12-20,4:25,3:25,,KAN,15,14,Sun,L 29-32,,34,13,16,5
31,OAK,2011,2011-09-18,1:03,1:03,@,BUF,2,2,Sun,L 35-38,,34,12,17,5
32,SDG,2000,2000-11-19,4:05,2:05,@,DEN,12,11,Sun,L 37-38,,34,0,0,0
33,SDG,2002,2002-12-29,4:15,1:15,,SEA,17,16,Sun,L 28-31,OT,34,0,0,0
34,SDG,2008,2008-09-14,4:15,2:15,@,DEN,2,2,Sun,L 38-39,,34,0,0,0
35,TAM,2014,2014-10-05,1:03,12:03,@,NOR,5,5,Sun,L 31-37,OT,34,12,17,5
36,WAS,2007,2007-10-28,4:17,4:17,@,NWE,8,7,Sun,L 7-52,,34,0,0,0
37,ATL,2020,2020-09-20,1:00,12:00,@,DAL,2,2,Sun,L 39-40,,33,9,20,4
38,BUF,2012,2012-09-30,1:02,1:02,,NWE,4,4,Sun,L 28-52,,33,19,13,1
39,CAR,2011,2012-01-01,1:03,12:03,@,NOR,17,16,Sun,L 17-45,,33,10,23,0
40,CIN,2018,2018-10-21,8:20,12:00,@,KAN,7,7,Sun,L 10-45,,33,12,19,2
41,CIN,2018,2018-11-11,1:00,1:00,,NOR,10,9,Sun,L 14-51,,33,18,13,2
42,CLE,2007,2007-09-16,1:03,1:03,,CIN,2,2,Sun,W 51-45,,33,0,0,0
43,IND,2004,2004-10-31,1:00,12:00,@,KAN,8,7,Sun,L 35-45,,33,0,0,0
44,IND,2014,2014-11-16,8:31,8:31,,NWE,11,10,Sun,L 20-42,,33,17,13,3
45,ARI,2010,2010-09-19,1:03,1:03,@,ATL,2,2,Sun,L 7-41,,33,0,0,0
46,ARI,2016,2016-12-18,4:05,2:05,,NOR,15,14,Sun,L 41-48,,33,10,20,3
47,ARI,2018,2018-10-07,4:25,1:25,@,SFO,5,5,Sun,W 28-18,,33,9,22,2
48,ARI,2018,2018-12-23,4:05,2:05,,LAR,16,15,Sun,L 9-31,,33,18,11,4
49,ARI,2020,2020-10-25,8:20,6:20,,SEA,7,7,Sun,W 37-34,OT,33,11,21,1
50,DAL,2012,2012-12-23,1:02,12:02,,NOR,16,15,Sun,L 31-34,OT,33,5,25,3
51,DAL,2013,2013-12-09,8:40,7:40,@,CHI,14,13,Mon,L 28-45,,33,10,19,4
52,DAL,2020,2020-10-04,1:00,12:00,,CLE,4,4,Sun,L 38-49,,33,16,14,3
53,GNB,2014,2014-09-28,1:02,12:02,@,CHI,4,4,Sun,W 38-17,,33,16,14,3
54,HOU,2007,2007-12-23,1:02,1:02,@,IND,16,15,Sun,L 15-38,,33,0,0,0
55,KAN,2018,2018-09-09,4:05,1:05,@,LAC,1,1,Sun,W 38-28,,33,7,23,3
56,KAN,2018,2018-09-16,1:00,1:00,@,PIT,2,2,Sun,W 42-37,,33,2,25,6
57,MIA,2021,2021-10-10,1:00,1:00,@,TAM,5,5,Sun,L 17-45,,33,5,26,2
58,MIN,2001,2001-11-11,4:15,4:15,@,PHI,9,8,Sun,L 17-48,,33,0,0,0
59,NOR,2015,2015-12-06,4:25,3:25,,CAR,13,12,Sun,L 38-41,,33,9,18,6
60,NYJ,2008,2008-09-28,1:02,1:02,,ARI,4,4,Sun,W 56-35,,33,0,0,0
61,TEN,2017,2017-10-01,1:00,12:00,@,HOU,4,4,Sun,L 14-57,,33,10,19,4
62,PHI,2013,2013-09-15,1:02,1:02,,SDG,2,2,Sun,L 30-33,,33,7,22,4
63,PIT,2013,2013-11-03,4:25,4:25,@,NWE,9,8,Sun,L 31-55,,33,13,17,3
64,PIT,2021,2021-11-21,8:20,5:20,@,LAC,11,10,Sun,L 37-41,,33,9,19,5
65,OAK,2004,2004-10-31,4:15,1:15,@,SDG,8,8,Sun,L 14-42,,33,0,0,0
66,STL,2009,2009-10-18,1:03,1:03,@,JAX,6,6,Sun,L 20-23,OT,33,0,0,0
67,BAL,2012,2012-09-23,8:31,8:31,,NWE,3,3,Sun,W 31-30,,33,6,19,8
68,BAL,2020,2020-12-14,8:15,8:15,@,CLE,14,13,Mon,W 47-42,,33,10,18,5
69,BAL,2021,2021-12-26,1:00,1:00,@,CIN,16,15,Sun,L 21-41,,33,4,26,3
70,SDG,2003,2003-11-23,4:15,1:15,,CIN,12,11,Sun,L 27-34,,33,0,0,0
71,LAC,2018,2018-09-23,4:05,1:05,@,LAR,3,3,Sun,L 23-35,,33,12,18,3
72,LAC,2021,2021-09-26,1:00,12:00,@,KAN,3,3,Sun,W 30-24,,33,12,17,4
73,SEA,2021,2021-09-19,4:25,1:25,,TEN,2,2,Sun,L 30-33,OT,33,11,16,6
74,ATL,2005,2005-10-16,1:03,12:03,@,NOR,6,6,Sun,W 34-31,,32,0,0,0
75,ATL,2016,2016-09-26,8:30,7:30,@,NOR,3,3,Mon,W 45-32,,32,9,21,2
76,ATL,2018,2018-09-23,1:00,1:00,,NOR,3,3,Sun,L 37-43,OT,32,11,19,2
77,BUF,2005,2005-12-11,1:02,1:02,,NWE,14,13,Sun,L 7-35,,32,0,0,0
78,BUF,2017,2017-11-12,1:00,1:00,,NOR,10,9,Sun,L 10-47,,32,20,9,3
79,BUF,2019,2019-11-28,4:30,3:30,@,DAL,13,12,Thu,W 26-15,,32,5,22,5
80,CHI,2014,2014-10-26,1:02,1:02,@,NWE,8,8,Sun,L 23-51,,32,6,25,1
81,CHI,2016,2016-10-20,8:26,7:26,@,GNB,7,7,Thu,L 10-26,,32,5,21,6
82,CIN,2000,2000-10-22,1:00,1:00,,DEN,8,7,Sun,W 31-21,,32,0,0,0
83,CIN,2021,2021-10-31,1:00,1:00,@,NYJ,8,8,Sun,L 31-34,,32,6,23,3
84,ARI,2008,2008-11-27,8:16,8:16,@,PHI,13,12,Thu,L 20-48,,32,0,0,0
85,ARI,2013,2013-12-15,4:27,3:27,@,TEN,15,14,Sun,W 37-34,OT,32,3,23,6
86,DET,2008,2008-12-21,1:03,1:03,,NOR,16,15,Sun,L 7-42,,32,0,0,0
87,DET,2019,2019-10-20,1:00,1:00,,MIN,7,6,Sun,L 30-42,,32,10,19,3
88,GNB,2011,2012-01-01,1:02,12:02,,DET,17,16,Sun,W 45-41,,32,2,27,3
89,GNB,2015,2015-10-18,4:25,3:25,,SDG,6,6,Sun,W 27-20,,32,4,26,2
90,GNB,2019,2019-10-06,4:25,3:25,@,DAL,5,5,Sun,W 34-24,,32,9,19,4
91,JAX,2007,2007-11-04,1:02,12:02,@,NOR,9,8,Sun,L 24-41,,32,0,0,0
92,JAX,2014,2014-09-14,1:05,1:05,@,WAS,2,2,Sun,L 10-41,,32,12,16,4
93,JAX,2021,2022-01-02,1:00,1:00,@,NWE,17,16,Sun,L 10-50,,32,16,15,1
94,KAN,2002,2002-11-24,4:05,1:05,@,SEA,12,11,Sun,L 32-39,,32,0,0,0
95,KAN,2009,2009-09-13,1:02,1:02,@,BAL,1,1,Sun,L 24-38,,32,0,0,0
96,KAN,2012,2012-12-30,4:25,2:25,@,DEN,17,16,Sun,L 3-38,,32,12,19,1
97,KAN,2016,2016-12-04,1:00,1:00,@,ATL,13,12,Sun,W 29-28,,32,11,15,6
98,KAN,2017,2017-10-19,8:25,5:25,@,OAK,7,7,Thu,L 30-31,,32,3,23,6
99,MIN,2000,2000-12-10,4:15,3:15,@,STL,15,14,Sun,L 29-40,,32,0,0,0
100,NOR,2016,2016-10-16,1:03,12:03,,CAR,6,5,Sun,W 41-38,,32,9,20,3
101,NWE,2021,2021-10-17,4:25,4:25,,DAL,6,6,Sun,L 29-35,OT,32,5,25,2
102,NYJ,2021,2021-10-24,1:00,1:00,@,NWE,7,6,Sun,L 13-54,,32,12,17,3
103,TEN,2009,2009-10-18,4:15,4:15,@,NWE,6,6,Sun,L 0-59,,32,0,0,0
104,TEN,2010,2010-11-21,1:03,12:03,,WAS,11,10,Sun,L 16-19,OT,32,0,0,0
105,PHI,2012,2012-12-30,1:04,1:04,@,NYG,17,16,Sun,L 7-42,,32,15,12,5
106,PHI,2018,2018-12-09,4:25,3:25,@,DAL,14,13,Sun,L 23-29,OT,32,6,23,3
107,PIT,2001,2001-12-30,1:02,1:02,@,CIN,16,15,Sun,L 23-26,OT,32,0,0,0
108,OAK,2004,2004-12-25,5:00,4:00,@,KAN,16,15,Sat,L 30-31,,32,0,0,0
109,SDG,2009,2009-10-04,8:30,8:30,@,PIT,4,4,Sun,L 28-38,,32,0,0,0
110,SEA,2002,2002-11-24,4:05,1:05,,KAN,12,11,Sun,W 39-32,,32,0,0,0
111,SFO,2000,2000-09-17,1:02,12:02,@,STL,3,3,Sun,L 24-41,,32,0,0,0
112,SFO,2012,2012-12-16,8:30,8:30,@,NWE,15,14,Sun,W 41-34,,32,8,22,2
113,SFO,2017,2017-12-24,4:05,1:05,,JAX,16,15,Sun,W 44-33,,32,7,20,5
114,ATL,2019,2019-10-06,1:00,12:00,@,HOU,5,5,Sun,L 32-53,,31,11,18,2
115,BUF,2002,2002-09-15,4:15,3:15,@,MIN,2,2,Sun,W 45-39,OT,31,0,0,0
116,CHI,2004,2004-11-21,1:02,12:02,,IND,11,10,Sun,L 10-41,,31,0,0,0
117,CHI,2009,2009-11-29,4:15,3:15,@,MIN,12,11,Sun,L 10-36,,31,0,0,0
118,CIN,2003,2003-12-14,1:03,1:03,,SFO,15,14,Sun,W 41-38,,31,0,0,0
119,CIN,2012,2012-09-23,1:03,1:03,@,WAS,3,3,Sun,W 38-31,,31,15,13,3
120,CLE,2019,2019-12-22,1:00,1:00,,BAL,16,15,Sun,L 15-31,,31,16,13,2
121,CLE,2020,2020-10-25,1:00,1:00,@,CIN,7,7,Sun,W 37-34,,31,5,24,2
122,ARI,2019,2019-10-13,4:05,2:05,,ATL,6,6,Sun,W 34-33,,31,7,20,4
123,DAL,2011,2011-10-30,8:28,8:28,@,PHI,8,7,Sun,L 7-34,,31,15,15,1
124,DET,2020,2021-01-03,1:00,1:00,,MIN,17,16,Sun,L 35-37,,31,8,20,3
125,HOU,2005,2005-10-16,8:38,5:38,@,SEA,6,5,Sun,L 10-42,,31,0,0,0
126,HOU,2020,2020-10-18,1:00,12:00,@,TEN,6,6,Sun,L 36-42,OT,31,9,20,2
127,KAN,2000,2000-11-05,1:15,1:15,@,OAK,10,9,Sun,L 31-49,,31,0,0,0
128,KAN,2018,2018-10-14,8:20,8:20,@,NWE,6,6,Sun,L 40-43,,31,15,14,2
129,KAN,2018,2018-12-23,8:20,5:20,@,SEA,16,15,Sun,L 31-38,,31,11,15,5
130,KAN,2021,2021-09-19,8:20,8:20,@,BAL,2,2,Sun,L 35-36,,31,18,11,2
131,MIA,2000,2000-10-23,9:10,9:10,@,NYJ,8,7,Mon,L 37-40,OT,31,0,0,0
132,MIA,2019,2019-09-08,1:00,1:00,,BAL,1,1,Sun,L 10-59,,31,10,17,4
133,MIA,2020,2020-11-01,1:00,1:00,,LAR,8,7,Sun,W 28-17,,31,11,19,1
134,MIN,2011,2011-09-11,4:20,1:20,@,SDG,1,1,Sun,L 17-24,,31,5,21,5
135,MIN,2020,2020-09-13,1:00,3:00,,GNB,1,1,Sun,L 34-43,,31,11,17,3
136,NWE,2020,2020-12-28,8:15,8:15,,BUF,16,15,Mon,L 9-38,,31,11,19,1
137,NYG,2002,2002-12-01,1:03,1:03,,TEN,13,12,Sun,L 29-32,OT,31,0,0,0
138,NYG,2011,2011-11-28,8:40,7:40,@,NOR,12,11,Mon,L 24-49,,31,13,17,1
139,NYG,2018,2018-11-18,1:00,1:00,,TAM,11,10,Sun,W 38-35,,31,10,18,3
140,NYJ,2020,2020-09-13,1:00,1:00,@,BUF,1,1,Sun,L 17-27,,31,8,17,6
141,TEN,2014,2014-09-28,1:03,1:03,@,IND,4,4,Sun,L 17-41,,31,7,21,3
142,TEN,2016,2016-11-06,4:25,1:25,@,SDG,9,9,Sun,L 35-43,,31,10,16,5
143,PHI,2019,2019-09-26,8:20,7:20,@,GNB,4,4,Thu,W 34-27,,31,4,19,8
144,PHI,2021,2021-10-03,1:00,1:00,,KAN,4,4,Sun,L 30-42,,31,12,16,3
145,OAK,2000,2000-11-05,1:15,1:15,,KAN,10,9,Sun,W 49-31,,31,0,0,0
146,OAK,2004,2004-12-19,4:15,1:15,,TEN,15,14,Sun,W 40-35,,31,0,0,0
147,OAK,2013,2013-09-23,8:40,6:40,@,DEN,3,3,Mon,L 21-37,,31,9,20,2
148,STL,2005,2005-10-17,8:08,8:08,@,IND,6,6,Mon,L 28-45,,31,0,0,0
149,LAR,2018,2018-11-04,4:25,3:25,@,NOR,9,9,Sun,L 35-45,,31,10,19,2
150,LAR,2019,2019-11-25,8:15,5:15,,BAL,12,11,Mon,L 6-45,,31,17,13,1
151,BAL,2014,2014-11-30,1:02,1:02,,SDG,13,12,Sun,L 33-34,,31,5,20,6
152,BAL,2017,2017-12-10,8:30,8:30,@,PIT,14,13,Sun,L 38-39,,31,6,23,2
153,SEA,2020,2020-10-11,8:20,5:20,,MIN,5,5,Sun,W 27-26,,31,12,17,2
154,SEA,2020,2020-10-25,8:20,6:20,@,ARI,7,6,Sun,L 34-37,OT,31,11,17,3
155,SFO,2000,2000-10-08,4:00,1:00,,OAK,6,6,Sun,L 28-34,OT,31,0,0,0
156,SFO,2005,2005-12-11,4:06,1:06,@,SEA,14,13,Sun,L 3-41,,31,0,0,0
157,SFO,2018,2018-09-23,1:00,12:00,@,KAN,3,3,Sun,L 27-38,,31,9,15,7
158,SFO,2020,2020-12-07,8:15,6:15,,BUF,13,12,Mon,L 24-34,,31,6,22,3
159,SFO,2021,2021-09-12,1:00,1:00,@,DET,1,1,Sun,W 41-33,,31,8,19,4
160,TAM,2012,2012-09-16,1:03,1:03,@,NYG,2,2,Sun,L 34-41,,31,6,21,4
161,TAM,2016,2016-11-03,8:25,8:25,,ATL,9,8,Thu,L 28-43,,31,9,20,2
162,TAM,2019,2019-11-03,4:05,1:05,@,SEA,9,8,Sun,L 34-40,OT,31,4,23,4
163,WAS,2014,2014-09-25,8:26,8:26,,NYG,4,4,Thu,L 14-45,,31,9,19,3
164,WAS,2016,2016-12-24,1:00,12:00,@,CHI,16,15,Sat,W 41-21,,31,10,18,3
165,ATL,2002,2002-11-10,1:01,1:01,@,PIT,10,9,Sun,T 34-34,OT,30,0,0,0
166,ATL,2005,2005-12-24,1:02,1:02,@,TAM,16,15,Sat,L 24-27,OT,30,0,0,0
167,ATL,2007,2007-12-30,1:04,1:04,,SEA,17,16,Sun,W 44-41,,30,0,0,0
168,ATL,2014,2014-09-07,1:03,1:03,,NOR,1,1,Sun,W 37-34,OT,30,9,17,4
169,ATL,2018,2018-09-30,1:00,1:00,,CIN,4,4,Sun,L 36-37,,30,6,20,4
170,ATL,2018,2018-10-14,1:00,1:00,,TAM,6,6,Sun,W 34-29,,30,5,23,2
171,BUF,2007,2007-11-18,8:24,8:24,,NWE,11,10,Sun,L 10-56,,30,0,0,0
172,BUF,2011,2011-09-25,1:03,1:03,,NWE,3,3,Sun,W 34-31,,30,6,21,3
173,CAR,2020,2020-11-15,1:00,1:00,,TAM,10,10,Sun,L 23-46,,30,9,18,3
174,CHI,2009,2009-10-25,4:16,4:16,@,CIN,7,6,Sun,L 10-45,,30,0,0,0
175,CIN,2014,2014-10-05,8:43,8:43,@,NWE,5,4,Sun,L 17-43,,30,11,17,2
176,CIN,2016,2016-10-30,8:36,1:36,,WAS,8,8,Sun,T 27-27,OT,30,2,24,4
177,CLE,2003,2003-11-09,1:00,12:00,@,KAN,10,9,Sun,L 20-41,,30,0,0,0
178,CLE,2008,2008-09-07,4:16,4:16,,DAL,1,1,Sun,L 10-28,,30,0,0,0
179,CLE,2012,2012-10-07,1:02,1:02,@,NYG,5,5,Sun,L 27-41,,30,14,12,4
180,CLE,2012,2012-11-18,1:04,12:04,@,DAL,11,10,Sun,L 20-23,OT,30,6,14,10
181,CLE,2013,2013-12-08,1:02,1:02,@,NWE,14,13,Sun,L 26-27,,30,7,21,2
182,CLE,2020,2020-09-17,8:20,8:20,,CIN,2,2,Thu,W 35-30,,30,7,20,3
183,CLE,2021,2021-11-14,1:00,1:00,@,NWE,10,10,Sun,L 7-45,,30,10,17,3
184,IND,2018,2018-09-30,1:00,1:00,,HOU,4,4,Sun,L 34-37,OT,30,6,23,1
185,IND,2021,2021-10-11,8:15,8:15,@,BAL,5,5,Mon,L 25-31,OT,30,7,22,1
186,IND,2021,2021-11-04,8:20,8:20,,NYJ,9,9,Thu,W 45-30,,30,3,25,2
187,ARI,2001,2001-11-18,4:15,2:15,,DET,10,9,Sun,W 45-38,,30,0,0,0
188,ARI,2003,2003-12-07,4:05,1:05,@,SFO,14,13,Sun,L 14-50,,30,0,0,0
189,ARI,2006,2006-11-26,1:05,12:05,@,MIN,12,11,Sun,L 26-31,,30,0,0,0
190,ARI,2011,2011-10-30,1:02,1:02,@,BAL,8,7,Sun,L 27-30,,30,10,15,5
191,ARI,2018,2018-09-09,4:25,2:25,,WAS,1,1,Sun,L 6-24,,30,10,13,7
192,ARI,2018,2018-11-25,4:05,1:05,@,LAC,12,11,Sun,L 10-45,,30,11,17,2
193,ARI,2020,2020-10-04,1:00,1:00,@,CAR,4,4,Sun,L 21-31,,30,11,17,2
194,ARI,2020,2020-12-06,4:05,2:05,,LAR,13,12,Sun,L 28-38,,30,8,19,3
195,DAL,2016,2016-11-13,4:25,4:25,@,PIT,10,9,Sun,W 35-30,,30,5,22,3
196,DEN,2007,2007-09-30,4:15,4:15,@,IND,4,4,Sun,L 20-38,,30,0,0,0
197,DEN,2010,2010-11-14,4:05,2:05,,KAN,10,9,Sun,W 49-29,,30,0,0,0
198,DEN,2016,2016-11-06,8:30,5:30,@,OAK,9,9,Sun,L 20-30,,30,11,12,7
199,DET,2018,2018-10-07,1:00,1:00,,GNB,5,5,Sun,W 31-23,,30,6,23,1
200,DET,2020,2020-12-26,1:00,1:00,,TAM,16,15,Sat,L 7-47,,30,5,22,3
201,GNB,2013,2013-11-28,12:36,12:36,@,DET,13,12,Thu,L 10-40,,30,14,16,0
202,HOU,2005,2005-10-23,1:03,12:03,,IND,7,6,Sun,L 20-38,,30,0,0,0
203,HOU,2005,2005-12-24,1:03,12:03,,JAX,16,15,Sat,L 20-38,,30,0,0,0
204,HOU,2008,2008-11-16,1:02,1:02,@,IND,11,10,Sun,L 27-33,,30,0,0,0
205,HOU,2014,2014-11-02,1:03,12:03,,PHI,9,9,Sun,L 21-31,,30,12,15,3
206,JAX,2011,2011-10-02,1:03,1:03,,NOR,4,4,Sun,L 10-23,,30,9,20,1
207,JAX,2020,2020-12-06,1:00,3:00,@,MIN,13,12,Sun,L 24-27,OT,30,10,17,3
208,KAN,2004,2004-12-13,9:08,8:08,@,TEN,14,13,Mon,W 49-38,,30,0,0,0
209,KAN,2009,2010-01-03,4:15,2:15,@,DEN,17,16,Sun,W 44-24,,30,0,0,0
210,KAN,2017,2017-12-03,1:00,1:00,@,NYJ,13,12,Sun,L 31-38,,30,10,16,4
211,KAN,2018,2018-12-13,8:20,7:20,,LAC,15,14,Thu,L 28-29,,30,7,18,5
212,KAN,2020,2020-11-08,1:00,12:00,,CAR,9,9,Sun,W 33-31,,30,7,18,5
213,KAN,2021,2021-10-03,1:00,1:00,@,PHI,4,4,Sun,W 42-30,,30,9,19,2
214,MIA,2008,2008-11-23,1:02,1:02,,NWE,12,11,Sun,L 28-48,,30,0,0,0
215,MIA,2016,2016-12-24,1:00,1:00,@,BUF,16,15,Sat,W 34-31,OT,30,14,15,1
216,MIA,2017,2017-11-13,8:30,8:30,@,CAR,10,9,Mon,L 21-45,,30,12,16,2
217,MIA,2019,2019-11-24,1:00,1:00,@,CLE,12,11,Sun,L 24-41,,30,9,15,6
218,MIN,2013,2013-11-24,1:02,12:02,@,GNB,12,11,Sun,T 26-26,OT,30,11,16,3
219,MIN,2020,2020-11-08,1:00,3:00,,DET,9,8,Sun,W 34-20,,30,9,19,2
220,NOR,2011,2011-11-13,1:03,1:03,@,ATL,10,10,Sun,W 26-23,OT,30,9,17,4
221,NOR,2012,2012-09-30,4:25,3:25,@,GNB,4,4,Sun,L 27-28,,30,5,21,4
222,NYJ,2003,2003-11-16,4:05,4:05,@,IND,11,10,Sun,L 31-38,,30,0,0,0
223,NYJ,2016,2016-10-09,1:02,1:02,@,PIT,5,5,Sun,L 13-31,,30,3,23,4
224,NYJ,2020,2020-11-09,8:15,8:15,,NWE,9,9,Mon,L 27-30,,30,14,13,3
225,NYJ,2021,2021-10-03,1:00,1:00,,TEN,4,4,Sun,W 27-24,OT,30,10,17,3
226,TEN,2007,2007-11-25,1:02,1:02,@,CIN,12,11,Sun,L 6-35,,30,0,0,0
227,TEN,2009,2009-12-25,7:34,6:34,,SDG,16,15,Fri,L 17-42,,30,0,0,0
228,TEN,2012,2012-10-28,1:06,12:06,,IND,8,8,Sun,L 13-19,OT,30,12,16,2
229,TEN,2015,2015-11-08,1:02,12:02,@,NOR,9,8,Sun,W 34-28,OT,30,5,18,7
230,TEN,2020,2020-09-20,1:00,12:00,,JAX,2,2,Sun,W 33-30,,30,9,20,1
231,PHI,2015,2016-01-03,1:03,1:03,@,NYG,17,16,Sun,W 35-30,,30,11,18,1
232,PHI,2020,2020-09-20,1:00,1:00,,LAR,2,2,Sun,L 19-37,,30,11,17,2
233,OAK,2002,2002-11-03,4:15,1:15,,SFO,9,8,Sun,L 20-23,OT,30,0,0,0
234,OAK,2008,2008-11-02,4:15,1:15,,ATL,9,8,Sun,L 0-24,,30,0,0,0
235,OAK,2012,2012-12-06,8:30,5:30,,DEN,14,13,Thu,L 13-26,,30,9,15,6
236,STL,2013,2013-11-24,1:00,12:00,,CHI,12,11,Sun,W 42-21,,30,7,19,4
237,STL,2013,2013-12-15,4:25,3:25,,NOR,15,14,Sun,W 27-16,,30,5,24,1
238,STL,2015,2015-12-17,8:25,7:25,,TAM,15,14,Thu,W 31-23,,30,8,21,1
239,LAR,2016,2016-09-25,4:05,4:05,@,TAM,3,3,Sun,W 37-32,,30,6,21,3
240,BAL,2002,2002-09-30,9:08,9:08,,DEN,4,3,Mon,W 34-23,,30,0,0,0
241,BAL,2012,2012-10-14,1:02,1:02,,DAL,6,6,Sun,W 31-29,,30,12,15,3
242,BAL,2018,2018-12-09,1:00,12:00,@,KAN,14,13,Sun,L 24-27,OT,30,8,18,4
243,SDG,2001,2001-10-14,1:03,1:03,@,NWE,5,5,Sun,L 26-29,OT,30,0,0,0
244,SDG,2004,2004-12-26,1:00,1:00,@,IND,16,15,Sun,L 31-34,OT,30,0,0,0
245,SEA,2006,2006-10-29,1:00,12:00,@,KAN,8,7,Sun,L 28-35,,30,0,0,0
246,SEA,2007,2007-11-04,4:06,4:06,@,CLE,9,8,Sun,L 30-33,OT,30,0,0,0
247,SEA,2010,2010-11-07,4:05,1:05,,NYG,9,8,Sun,L 7-41,,30,0,0,0
248,SEA,2015,2015-11-15,8:35,5:35,,ARI,10,9,Sun,L 32-39,,30,5,20,5
249,SEA,2016,2016-11-07,8:30,5:30,,BUF,9,8,Mon,W 31-25,,30,11,16,3
250,SEA,2018,2018-10-07,4:25,1:25,,LAR,5,5,Sun,L 31-33,,30,9,17,4
251,SEA,2019,2019-10-27,1:00,1:00,@,ATL,8,8,Sun,W 27-20,,30,4,24,2
252,SFO,2001,2001-11-25,1:00,1:00,@,IND,11,10,Sun,W 40-21,,30,0,0,0
253,SFO,2005,2005-09-18,1:03,1:03,@,PHI,2,2,Sun,L 3-42,,30,0,0,0
254,SFO,2006,2006-10-15,4:15,1:15,,SDG,6,6,Sun,L 19-48,,30,0,0,0
255,SFO,2015,2015-10-11,8:31,8:31,@,NYG,5,5,Sun,L 27-30,,30,6,23,1
256,TAM,2015,2015-09-27,1:03,12:03,@,HOU,3,3,Sun,L 9-19,,30,10,16,4
257,TAM,2021,2021-09-09,8:20,8:20,,DAL,1,1,Thu,W 31-29,,30,4,21,5
258,WAS,2014,2014-12-20,4:30,4:30,,PHI,16,15,Sat,W 27-24,,30,7,22,1
259,ATL,2000,2000-09-10,4:16,2:16,@,DEN,2,2,Sun,L 14-42,,29,0,0,0
260,ATL,2000,2000-10-15,1:02,12:02,@,STL,7,7,Sun,L 29-45,,29,0,0,0
261,ATL,2001,2001-12-16,1:00,1:00,@,IND,14,13,Sun,L 27-41,,29,0,0,0
262,ATL,2002,2002-09-08,1:04,12:04,@,GNB,1,1,Sun,L 34-37,OT,29,0,0,0
